License_Number,FirmName,Doing_Business_As: ,Expiration_Date,Work_Phone,Street_Address,City,State,Zipcode
43004,"Hill-Rom Company, Inc.",,1/20/2015,(408) 727-9835,2975 Mead Avenue,Santa Clara,CA,95051
43016,Valley Home Medical Supply,,2/22/2015,(818) 225-7705,7361 Topanga Canyon Boulevard,Canoga Park,CA,91303
43027,Performance Prosthetics Orthotic Center,Performance Prosthetics & Orthotics Specialists,5/20/2015,(310) 829-2322,2820 Santa Monica Boulevard,Santa Monica,CA,90404
43082,Apria Healthcare LLC,,1/10/2015,(209) 384-7100,"2260 Cooper Avenue, Suite E",Merced,CA,95348
43083,"Braden Partners, L.P.",Pacific Pulmonary Services,2/14/2015,(831) 722-3001,440 Westridge Drive,Watsonville,CA,95076
43095,Sunrise Medical Supplies Inc.,,3/22/2015,(415) 666-0933,6149 Geary Boulevard,San Francisco,CA,94121
43148,A Care Medical Supplies,,2/3/2015,(626) 307-9822,"1446 South San Gabriel Boulevard, Suite A",San Gabriel,CA,91776
43183,Apria Healthcare LLC,,2/7/2015,(916) 921-1162,4295 Business Drive,Shingle Springs,CA,95682
43185,"Rest E-Z, Inc.",Rest E-Z DME,4/19/2016,(510) 232-3600,11886 San Pablo Avenue,El Cerrito,CA,94530
43188,"Newport Center Orthopedic, Inc.",,3/18/2015,(949) 644-0065,"400 Newport Center Drive, Suite 104",Newport Beach,CA,92660
43242,"Hill-Rom Company, Inc.",,2/23/2015,(951) 369-3371,"1110 Palmyrita Avenue, Suite 100",Riverside,CA,92507
43292,"Accurate Medical Services, LLC",,4/26/2015,(310) 472-4257,"522 South Sepulveda Boulevard, Suite 110",Los Angeles,CA,90049
43442,LA Foot Inc.,,4/19/2015,(510) 644-3668,2917 College Avenue,Berkeley,CA,94705
43468,Santa Clara Ostomy & Medical Supply Inc.,,7/1/2015,(408) 296-7890,2455 Forest Avenue,San Jose,CA,95128
43472,Hoveround Corporation,,5/5/2015,(800) 771-6565,1586 Fayette Street,El Cajon,CA,92020
43558,Wheelchair City Inc.,,7/29/2015,(951) 677-5568,"41610 Date Street, Suite 105",Murrieta,CA,92562
43562,"Hill-Rom Company, Inc.",,5/20/2015,(818) 886-0022,9743 Independence Avenue,Chatsworth,CA,91311
43564,"Hill-Rom Company, Inc.",,10/11/2014,(858) 505-9399,"9596 Cheasapeake Drive, Suite C",San Diego,CA,92123
43575,Advanced Medical Technology,,5/26/2015,(805) 967-9200,"5266 Hollister, Suite 107",Santa Barbara,CA,93111
