EquipmentName,EquipmentCode,RegulationID,DepartmentID,UserID
"Protector, Dental",BRW,R001,1,1
"Stool, Anesthesia",BRX,R002,2,2
"Cabinet, Table And Tray, Anesthesia",BRY,R003,3,3
"Analyzer, Gas, Helium, Gaseous-Phase",BSE,R004,4,4
"Absorber, Carbon-Dioxide",BSF,R005,5,5
"Algesimeter, Powered",BSI,R006,6,6
"Mask, Gas, Anesthetic",BSJ,R007,7,7
"Cuff, Tracheal Tube, Inflatable",BSK,R008,8,8
"Filter, Conduction, Anesthetic",BSN,R009,9,9
"Catheter, Conduction, Anesthetic",BSO,R010,10,10
"Needle, Conduction, Anesthetic (W/Wo Introducer)",BSP,R011,11,11
"Stylet, Tracheal Tube",BSR,R012,12,12
"Catheters, Suction, Tracheobronchial",BSY,R013,13,13
"Gas-Machine, Anesthesia",BSZ,R014,14,14
"Hook, Ether",BTB,R015,15,15
"Bag, Reservoir",BTC,R016,16,16
"Compressor, Air, Portable",BTI,R017,17,17
"Strap, Head, Gas Mask",BTK,R018,18,18
"Ventilator, Emergency, Powered (Resuscitator)",BTL,R019,19,19
"Ventilator, Emergency, Manual (Resuscitator)",BTM,R020,20,20
"Tube, Tracheostomy (W/Wo Connector)",BTO,R021,21,21
"Dropper, Ether",BTP,R022,22,22
"Airway, Nasopharyngeal",BTQ,R023,23,23
"Tube, Tracheal (W/Wo Connector)",BTR,R024,24,24
"Tube, Bronchial (W/Wo Connector)",BTS,R025,25,25
"Humidifier, Respiratory Gas, (Direct Patient Interface)",BTT,R026,26,26
"Calculator, Predicted Values, Pulmonary Function",BTY,R027,27,27
"Forceps, Tube Introduction",BWB,R028,28,28
"Needle, Emergency Airway",BWC,R029,29,29
"Spirometer, Therapeutic (Incentive)",BWF,R030,30,30
"Apparatus, Electronanesthesia",BWL,R001,31,31
"Analyzer, Gas, Water Vapor, Gaseous-Phase",BXA,R002,32,32
"Gauge, Gas Pressure, Cylinder/Pipeline",BXH,R003,33,33
"Clip, Nose",BXJ,R004,34,34
"Gas, Calibration (Specified Concentration)",BXK,R005,35,35
"Algesimeter, Manual",BXL,R006,36,36
"Stimulator, Nerve, Ac-Powered",BXM,R007,37,37
"Stimulator, Nerve, Battery-Powered",BXN,R008,38,38
"Transducer, Gas Pressure",BXO,R009,39,39
"Transducer, Gas Flow",BXP,R010,40,40
Rhinoanemometer (Measurement Of Nasal Decongestion),BXQ,R011,41,41
"Meter, Airway Pressure (Inspiratory Force)",BXR,R012,42,42
"Calibrator, Volume, Gas",BXW,R013,43,43
"Calibrator, Pressure, Gas",BXX,R014,44,44
"Flowmeter, Calibration, Gas",BXY,R015,45,45
"Condenser, Heat And Moisture (Artificial Nose)",BYD,R016,46,46
"Attachment, Breathing, Positive End Expiratory Pressure",BYE,R017,47,47
"Mask, Oxygen, Low Concentration, Venturi",BYF,R018,48,48
"Mask, Oxygen",BYG,R019,49,49
"Drain, Tee (Water Trap)",BYH,R020,50,50
"Percussor, Powered-Electric",BYI,R021,51,51
"Unit, Liquid-Oxygen, Portable",BYJ,R022,52,52
"Tent, Oxygen, Electrically Powered",BYK,R023,53,53
"Tent, Oxygen",BYL,R024,54,54
"Tube, Thorpe, Uncompensated",BYM,R025,55,55
"Chair, Posture, For Cardiac And Pulmonary Treatment",BYN,R026,56,56
"Bottle, Blow",BYO,R027,57,57
"Mouthpiece, Breathing",BYP,R028,58,58
"Transducer, Gas Pressure, Differential",BYR,R029,59,59
"Ventilator, External Body, Negative Pressure, Adult (Cuirass)",BYT,R030,60,60
"Device, Rebreathing",BYW,R001,61,61
"Tubing, Pressure And Accessories",BYX,R002,62,62
"Connector, Airway (Extension)",BZA,R003,63,63
"Catheter, Nasal, Oxygen",BZB,R004,64,64
"Calculator, Pulmonary Function Data",BZC,R005,65,65
"Ventilator, Non-Continuous (Respirator)",BZD,R006,66,66
"Heater, Breathing System W/Wo Controller (Not Humidifier Or Nebulizer",BZE,R007,67,67
"Spirometer, Diagnostic",BZG,R008,68,68
"Meter, Peak Flow, Spirometry",BZH,R009,69,69
"Spirometer, Monitoring (W/Wo Alarm)",BZK,R010,70,70
"Computer, Oxygen-Uptake",BZL,R011,71,71
"Calculator, Pulmonary Function Interpretor (Diagnostic)",BZM,R012,72,72
"Cart, Emergency, Cardiopulmonary (Excluding Equipment)",BZN,R013,73,73
