HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
A4206,0,3 Date of Service Edit: Clinical,CMS Policy
A4207,0,3 Date of Service Edit: Clinical,CMS Policy
A4208,0,3 Date of Service Edit: Clinical,CMS Policy
A4209,0,3 Date of Service Edit: Clinical,CMS Policy
A4210,0,3 Date of Service Edit: Clinical,CMS Policy
A4211,0,3 Date of Service Edit: Clinical,CMS Policy
A4213,0,3 Date of Service Edit: Clinical,CMS Policy
A4215,0,3 Date of Service Edit: Clinical,CMS Policy
A4221,4,3 Date of Service Edit: Clinical,Clinical: Data
A4223,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4226,0,3 Date of Service Edit: Clinical,CMS Policy
A4230,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4231,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4232,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4233,2,3 Date of Service Edit: Clinical,Clinical: Data
A4234,2,3 Date of Service Edit: Clinical,Clinical: Data
A4235,2,3 Date of Service Edit: Clinical,Clinical: Data
A4236,2,3 Date of Service Edit: Clinical,Clinical: Data
A4244,0,3 Date of Service Edit: Clinical,CMS Policy
A4245,0,3 Date of Service Edit: Clinical,CMS Policy
A4246,0,3 Date of Service Edit: Clinical,CMS Policy
A4247,0,3 Date of Service Edit: Clinical,CMS Policy
A4248,0,3 Date of Service Edit: Clinical,CMS Policy
A4250,0,3 Date of Service Edit: Clinical,CMS Policy
A4252,0,3 Date of Service Edit: Clinical,CMS Policy
A4253,1,3 Date of Service Edit: Clinical,Nature of Equipment
A4255,0,3 Date of Service Edit: Clinical,Nature of Equipment
A4256,2,3 Date of Service Edit: Clinical,Clinical: Data
A4257,0,3 Date of Service Edit: Clinical,Nature of Equipment
A4258,1,2 Date of Service Edit: Policy,Published Contractor Policy
A4259,1,3 Date of Service Edit: Clinical,Nature of Equipment
A4281,0,3 Date of Service Edit: Clinical,CMS Policy
A4282,0,3 Date of Service Edit: Clinical,CMS Policy
A4283,0,3 Date of Service Edit: Clinical,CMS Policy
A4284,0,3 Date of Service Edit: Clinical,CMS Policy
A4285,0,3 Date of Service Edit: Clinical,CMS Policy
A4286,0,3 Date of Service Edit: Clinical,CMS Policy
A4305,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4306,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4310,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4311,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4312,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4313,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4314,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4315,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4316,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4321,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4330,0,3 Date of Service Edit: Clinical,CMS Policy
A4331,6,3 Date of Service Edit: Clinical,Clinical: Data
A4332,600,3 Date of Service Edit: Clinical,Published Contractor Policy
A4334,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4336,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
A4337,0,3 Date of Service Edit: Clinical,Published Contractor Policy
A4338,3,3 Date of Service Edit: Clinical,Published Contractor Policy
A4340,3,3 Date of Service Edit: Clinical,Published Contractor Policy
