AllocationID,AllocationDate,DepartmentID,ReturnDate,EquipmentID
AL0001,7/25/2023,1,8/8/2023,1
AL0002,3/28/2023,2,4/8/2023,2
AL0003,9/22/2023,3,10/7/2023,3
AL0004,3/15/2023,4,3/30/2023,4
AL0005,7/27/2023,5,8/9/2023,5
AL0006,5/4/2023,6,5/17/2023,6
AL0007,12/24/2023,7,1/8/2024,7
AL0008,9/1/2023,8,9/16/2023,8
AL0009,4/13/2023,9,4/28/2023,9
AL0010,12/3/2023,10,12/15/2023,10
AL0011,4/2/2023,11,4/14/2023,11
AL0012,10/26/2023,12,11/6/2023,12
AL0013,5/20/2023,13,5/30/2023,13
AL0014,5/4/2023,14,5/16/2023,14
AL0015,12/7/2023,15,12/18/2023,15
AL0016,7/9/2023,16,7/21/2023,16
AL0017,3/11/2023,17,3/22/2023,17
AL0018,7/10/2023,18,7/23/2023,18
AL0019,8/24/2023,19,9/4/2023,19
AL0020,7/4/2023,20,7/17/2023,20
AL0021,8/3/2023,21,8/16/2023,21
AL0022,6/27/2023,22,7/11/2023,22
AL0023,5/30/2023,23,6/10/2023,23
AL0024,6/1/2023,24,6/11/2023,24
AL0025,8/10/2023,25,8/25/2023,25
AL0026,7/29/2023,26,8/12/2023,26
AL0027,10/7/2023,27,10/20/2023,27
AL0028,6/2/2023,28,6/12/2023,28
AL0029,12/16/2023,29,12/26/2023,29
AL0030,7/16/2023,30,7/26/2023,30
AL0031,10/5/2023,31,10/19/2023,31
AL0032,4/22/2023,32,5/3/2023,32
AL0033,5/26/2023,33,6/6/2023,33
AL0034,8/26/2023,34,9/7/2023,34
AL0035,4/11/2023,35,4/26/2023,35
AL0036,11/22/2023,36,12/2/2023,36
AL0037,4/18/2023,37,4/28/2023,37
AL0038,5/22/2023,38,6/3/2023,38
AL0039,7/20/2023,39,8/3/2023,39
AL0040,7/28/2023,40,8/10/2023,40
AL0041,2/13/2023,41,2/26/2023,41
AL0042,7/20/2023,42,8/4/2023,42
AL0043,2/23/2023,43,3/8/2023,43
AL0044,4/22/2023,44,5/3/2023,44
AL0045,6/27/2023,45,7/9/2023,45
AL0046,3/10/2023,46,3/21/2023,46
AL0047,10/19/2023,47,11/3/2023,47
AL0048,2/1/2023,48,2/14/2023,48
AL0049,2/1/2023,49,2/13/2023,49
AL0050,10/25/2023,50,11/7/2023,50
AL0051,11/8/2023,51,11/23/2023,51
AL0052,6/21/2023,52,7/4/2023,52
AL0053,9/20/2023,53,10/1/2023,53
AL0054,5/8/2023,54,5/21/2023,54
AL0055,5/2/2023,55,5/12/2023,55
AL0056,2/8/2023,56,2/23/2023,56
AL0057,2/19/2023,57,3/5/2023,57
AL0058,12/9/2023,58,12/24/2023,58
AL0059,10/14/2023,59,10/24/2023,59
AL0060,12/26/2023,60,1/8/2024,60
AL0061,2/23/2023,61,3/8/2023,61
AL0062,5/9/2023,62,5/19/2023,62
AL0063,12/12/2023,63,12/26/2023,63
AL0064,11/23/2023,64,12/6/2023,64
AL0065,1/12/2023,65,1/22/2023,65
AL0066,6/28/2023,66,7/10/2023,66
AL0067,10/28/2023,67,11/10/2023,67
AL0068,8/31/2023,68,9/14/2023,68
AL0069,7/2/2023,69,7/17/2023,69
AL0070,6/6/2023,70,6/18/2023,70
AL0071,11/18/2023,71,12/3/2023,71
AL0072,2/21/2023,72,3/6/2023,72
AL0073,7/11/2023,73,7/24/2023,73
AL0074,3/27/2023,74,4/9/2023,74
AL0075,5/14/2023,75,5/29/2023,75
AL0076,3/20/2023,76,3/31/2023,76
AL0077,1/20/2023,77,1/31/2023,77
AL0078,2/14/2023,78,2/25/2023,78
AL0079,3/11/2023,79,3/21/2023,79
AL0080,12/17/2023,80,12/31/2023,80
AL0081,9/29/2023,81,10/13/2023,81
AL0082,5/3/2023,82,5/17/2023,82
AL0083,3/11/2023,83,3/25/2023,83
AL0084,6/5/2023,84,6/19/2023,84
AL0085,11/7/2023,85,11/22/2023,85
AL0086,6/20/2023,86,7/2/2023,86
AL0087,12/3/2023,87,12/13/2023,87
AL0088,11/17/2023,88,11/29/2023,88
AL0089,9/15/2023,89,9/30/2023,89
AL0090,7/13/2023,90,7/23/2023,90
AL0091,5/24/2023,91,6/5/2023,91
AL0092,5/31/2023,92,6/12/2023,92
AL0093,10/2/2023,93,10/16/2023,93
AL0094,5/26/2023,94,6/6/2023,94
AL0095,10/14/2023,95,10/24/2023,95
AL0096,3/19/2023,96,3/29/2023,96
AL0097,6/24/2023,97,7/4/2023,97
AL0098,4/23/2023,98,5/3/2023,98
AL0099,10/27/2023,99,11/9/2023,99
AL0100,11/16/2023,100,11/27/2023,100
AL0101,4/23/2023,101,5/6/2023,101
AL0102,10/28/2023,102,11/7/2023,102
AL0103,6/22/2023,103,7/2/2023,103
AL0104,4/25/2023,104,5/8/2023,104
AL0105,5/30/2023,105,6/14/2023,105
AL0106,11/13/2023,106,11/23/2023,106
AL0107,2/3/2023,107,2/14/2023,107
AL0108,12/9/2023,108,12/22/2023,108
AL0109,8/21/2023,109,9/5/2023,109
AL0110,5/23/2023,110,6/3/2023,110
AL0111,6/9/2023,111,6/20/2023,111
AL0112,10/8/2023,112,10/23/2023,112
AL0113,6/8/2023,113,6/21/2023,113
AL0114,1/10/2023,114,1/22/2023,114
AL0115,8/16/2023,115,8/29/2023,115
AL0116,6/13/2023,116,6/24/2023,116
AL0117,12/15/2023,117,12/29/2023,117
AL0118,8/1/2023,118,8/11/2023,118
AL0119,11/17/2023,119,12/2/2023,119
AL0120,7/19/2023,120,8/2/2023,120
AL0121,12/29/2023,121,1/10/2024,121
AL0122,11/4/2023,122,11/16/2023,122
AL0123,7/9/2023,123,7/20/2023,123
AL0124,2/6/2023,124,2/18/2023,124
AL0125,5/19/2023,125,6/3/2023,125
AL0126,5/18/2023,126,5/30/2023,126
AL0127,10/16/2023,127,10/28/2023,127
AL0128,12/2/2023,128,12/15/2023,128
AL0129,2/16/2023,129,3/2/2023,129
AL0130,5/22/2023,130,6/5/2023,130
AL0131,9/25/2023,131,10/9/2023,131
AL0132,6/25/2023,132,7/8/2023,132
AL0133,11/16/2023,133,11/26/2023,133
AL0134,1/18/2023,134,1/29/2023,134
AL0135,8/19/2023,135,9/3/2023,135
AL0136,6/25/2023,136,7/5/2023,136
AL0137,9/5/2023,137,9/19/2023,137
AL0138,5/25/2023,138,6/8/2023,138
AL0139,12/7/2023,139,12/21/2023,139
AL0140,3/11/2023,140,3/24/2023,140
AL0141,9/13/2023,141,9/25/2023,141
AL0142,10/4/2023,142,10/16/2023,142
AL0143,10/26/2023,143,11/8/2023,143
AL0144,12/29/2023,144,1/11/2024,144
AL0145,1/29/2023,145,2/8/2023,145
AL0146,7/21/2023,146,8/2/2023,146
AL0147,4/22/2023,147,5/2/2023,147
AL0148,8/24/2023,148,9/4/2023,148
AL0149,5/26/2023,149,6/7/2023,149
AL0150,6/4/2023,150,6/15/2023,150
AL0151,10/3/2023,151,10/15/2023,151
AL0152,7/11/2023,152,7/23/2023,152
AL0153,3/12/2023,153,3/23/2023,153
AL0154,12/15/2023,154,12/25/2023,154
AL0155,4/5/2023,155,4/18/2023,155
AL0156,10/17/2023,156,10/28/2023,156
AL0157,1/20/2023,157,1/30/2023,157
AL0158,6/24/2023,158,7/7/2023,158
AL0159,8/23/2023,159,9/2/2023,159
AL0160,8/16/2023,160,8/31/2023,160
AL0161,4/27/2023,161,5/8/2023,161
AL0162,7/27/2023,162,8/9/2023,162
AL0163,1/5/2023,163,1/16/2023,163
AL0164,1/14/2023,164,1/28/2023,164
AL0165,2/8/2023,165,2/18/2023,165
AL0166,7/21/2023,166,8/1/2023,166
AL0167,12/1/2023,167,12/16/2023,167
AL0168,9/8/2023,168,9/22/2023,168
AL0169,12/25/2023,169,1/4/2024,169
AL0170,1/25/2023,170,2/9/2023,170
AL0171,4/2/2023,171,4/12/2023,171
AL0172,10/19/2023,172,10/31/2023,172
AL0173,5/18/2023,173,6/2/2023,173
AL0174,1/11/2023,174,1/26/2023,174
AL0175,6/16/2023,175,6/28/2023,175
AL0176,7/29/2023,176,8/8/2023,176
AL0177,1/30/2023,177,2/12/2023,177
AL0178,6/12/2023,178,6/23/2023,178
AL0179,5/15/2023,179,5/28/2023,179
AL0180,3/15/2023,180,3/26/2023,180
AL0181,8/22/2023,181,9/4/2023,181
AL0182,3/13/2023,182,3/28/2023,182
AL0183,7/25/2023,183,8/8/2023,183
AL0184,11/26/2023,184,12/9/2023,184
AL0185,3/23/2023,185,4/3/2023,185
AL0186,9/24/2023,186,10/9/2023,186
AL0187,2/13/2023,187,2/28/2023,187
AL0188,8/12/2023,188,8/27/2023,188
AL0189,1/29/2023,189,2/13/2023,189
AL0190,8/9/2023,190,8/19/2023,190
AL0191,3/22/2023,191,4/4/2023,191
AL0192,7/22/2023,192,8/4/2023,192
AL0193,3/8/2023,193,3/22/2023,193
AL0194,8/12/2023,194,8/23/2023,194
AL0195,6/14/2023,195,6/27/2023,195
AL0196,5/6/2023,196,5/20/2023,196
AL0197,9/29/2023,197,10/13/2023,197
AL0198,2/18/2023,1,3/1/2023,198
AL0199,7/14/2023,2,7/24/2023,199
AL0200,9/17/2023,3,9/30/2023,200
AL0201,9/27/2023,4,10/11/2023,201
AL0202,10/16/2023,5,10/26/2023,202
AL0203,3/20/2023,6,4/1/2023,203
AL0204,8/20/2023,7,8/31/2023,204
AL0205,9/18/2023,8,9/28/2023,205
AL0206,4/1/2023,9,4/15/2023,206
AL0207,11/11/2023,10,11/26/2023,207
