cityname,statename
ABBEVILLE,NC
ABERDEEN,GA
ABERDEEN,TX
ABERDEEN,WI
ABILENE,OH
ABINGDON,IL
ABINGTON,KY
ABINGTON,MD
ACTON,IL
ACWORTH,MO
ADA,NC
ADDISON,CA
ADRIAN,HI
ADVANCE,NJ
AGUADA,TX
AHOSKIE,PA
AIEA,CA
AIKEN,WI
AKRON,NJ
ALABASTER,MS
ALAMEDA,VA
ALAMO,CA
ALAMOGORDO,SC
ALAMOSA,MI
ALBANY,AZ
ALBANY,LA
ALBANY,SC
ALBEMARLE,OH
ALBERTVILLE,MA
ALBERTVILLE,MA
ALBIA,MS
ALBION,MA
ALBION,MA
ALBUQUERQUE,CA
ALEXANDER CITY,CA
ALEXANDRIA,AR
ALEXANDRIA,PA
ALEXANDRIA,WV
ALEXANDRIA BAY,IA
ALGOMA,CA
ALGONA,NY
ALGONQUIN,NY
ALHAMBRA,GA
ALICE,CO
ALLEN,AR
ALLEN PARK,TX
ALLENSTOWN,ME
ALLENTOWN,ME
ALLIANCE,DE
ALLIANCE,MS
ALLISON PARK,AL
ALLSTON,TX
ALMA,FL
ALMA,MA
ALMA,MA
ALPENA,KS
ALTAMONTE SPRINGS,NY
ALTON,MI
ALTOONA,MS
ALTOONA,NY
ALTUS,TX
ALVIN,VT
AMAGANSETT,AL
AMARILLO,NY
AMERICAN FORK,WV
AMERICUS,VA
AMERY,TX
AMHERST,CO
AMHERST,NY
AMITYVILLE,NC
AMSTERDAM,MI
ANACONDA,OR
ANACORTES,OH
ANAHEIM,TX
ANAHEIM HILLS,WI
ANAHUAC,MA
ANAHUAC,MA
ANCHORAGE,WV
ANDALUSIA,NY
ANDERSON,MO
ANDERSON,NC
ANDERSON,UT
ANDES,AZ
ANDOVER,CA
ANDOVER,VA
ANDREWS,MO
ANKENY,WV
ANMOORE,TX
ANN ARBOR,NC
ANNANDALE,CA
ANNANDALE,MI
ANNAPOLIS,CA
ANNISTON,OH
ANSONIA,OH
ANTHEM,KS
ANTIOCH,AL
APACHE JUNCTION,OH
APALACHIN,IN
APEX,WI
APO,MI
APOPKA,PA
APPLE VALLEY,HI
APPLE VALLEY,ND
APPLETON,CO
ARBUTUS,NC
ARCADIA,FL
ARCADIA,FL
ARCADIA,MA
ARCADIA,MA
ARCATA,IL
ARCHDALE,SC
ARDEN,OH
ARDMORE,FL
ARDMORE,PA
ARECIBO,MD
ARKANSAS CITY,MA
ARKANSAS CITY,MA
ARLINGTON,CA
ARLINGTON,CO
ARLINGTON,NJ
ARLINGTON,NM
ARLINGTON HEIGHTS,GA
ARNOLD,MI
ARNOLD,OH
ARROYO,GA
ASBURY PARK,NJ
ASHEBORO,NY
ASHEVILLE,IL
ASHLAND,CA
ASHLAND,GA
ASHLAND,MO
ASHLAND,MO
ASPEN,OK
ASTORIA,AZ
ATASCADERO,FL
ATCHISON,KS
ATCO,MA
ATCO,MA
ATHENS,AZ
ATHENS,CA
ATHENS,MI
ATHENS,OK
ATKINS,FL
ATLANTA,CO
ATLANTA,OH
"ATLANTA,",TN
ATLANTIC CITY,NY
ATLANTIS,DE
