EquipmentID,SupplierID
5742,3227
4038,14517
196,8879
1015,1380
3113,7171
2562,11112
102,5381
3411,13228
1172,4327
2331,867
5178,10606
3567,2821
272,1383
5379,11657
5490,2479
3528,375
3437,14612
946,7777
768,14721
4438,12785
1874,2961
1653,14363
3218,13901
4579,5606
3453,1847
4261,13390
3761,8357
4713,12980
5412,5507
2308,6667
3881,11139
2722,9974
3554,10051
2311,13414
5853,5721
4979,10187
3991,13516
1724,14392
1549,10999
3197,6643
5995,10450
2774,12386
3169,8838
5398,4676
4601,1789
2321,491
331,1508
5109,7233
4014,12876
5226,12043
1848,5168
3145,9194
5158,1398
604,10647
1704,3586
5178,12052
5637,14636
5488,6628
5054,14512
617,6750
821,585
3566,5396
4122,7935
5563,12301
5553,5710
2276,13911
824,5769
4146,1136
2522,8190
4765,4125
5947,14659
5270,10732
2232,10155
1411,11659
728,4933
2690,13875
328,4572
1945,12942
2918,2630
3660,1005
1079,2330
5393,3291
136,10136
4787,12179
4150,10279
612,9060
3494,3635
5686,8978
947,1441
3250,8276
3295,13105
1839,13997
4809,5493
3868,11572
2308,14461
1116,3994
736,2651
3179,12638
4843,12313
3742,5368
1812,13804
5536,3944
802,12782
878,2711
3967,3846
399,1709
5756,6202
3968,2533
3096,299
2715,12155
1852,6299
5812,9664
3571,1227
1787,14018
1843,1669
2948,1930
2300,13963
3269,4552
1367,2153
874,7008
4757,1304
4279,1067
953,6178
389,4234
4103,8676
28,4730
3927,3393
4377,733
5777,5531
5812,7347
1895,1421
1932,10581
2375,13613
3479,577
3783,4570
5380,3766
2452,13745
2307,12462
4479,2388
4254,1862
4923,4959
364,14741
4183,4256
4280,8402
326,13017
3358,8727
5318,5043
242,14822
5979,2560
4949,14422
3858,6210
2142,11680
3664,12245
1332,8744
1572,1127
3853,3287
2797,11306
4035,3973
185,2994
591,11394
3026,14347
4831,13371
1734,12502
3678,5314
2227,8887
5459,9800
4957,5091
1137,113
484,10690
2955,8901
3344,154
5645,5736
1650,11395
499,3001
4388,2417
683,5047
1064,4903
270,5277
3519,1223
810,2076
1143,10150
4674,11565
2823,11214
3722,11963
1393,11457
5204,13158
1595,5418
5491,2536
417,14399
4552,2030
4356,10936
4293,7391
4772,3046
4843,4248
1150,9370
1629,2697
4372,14504
5146,8788
3996,1367
276,12133
1642,7290
861,1121
199,90
1862,12566
583,6408
351,2517
2332,12958
3821,405
3699,2208
4571,3097
191,8172
1817,7787
468,4653
3486,8268
2628,14839
3537,822
1727,568
5396,5746
3099,752
397,6095
1889,399
5735,3825
2973,3012
5164,7175
3783,9452
1302,4758
404,11956
4270,3204
884,8785
5850,169
3115,7555
3047,1571
4222,12269
4043,2191
4857,6061
2367,12280
2684,14884
5064,2212
1948,5712
5732,11926
1668,11207
5909,2641
2416,5058
839,1553
2749,13447
5224,9537
888,1469
3243,11705
1424,4337
4319,11322
990,1918
2449,13722
5469,8038
4155,6775
5370,3481
2729,8869
1910,11819
3614,6526
1764,8264
2274,11643
3407,5397
3094,8047
5177,1151
4870,1586
1015,10695
2185,1355
2093,2965
1464,10856
5038,7464
5209,14853
5794,3998
4848,14536
4181,4951
979,3741
2669,8450
3941,3742
3026,6469
5106,1980
1760,12801
726,7956
4126,448
1795,9998
2602,8285
302,1676
589,12865
4432,243
533,6560
2131,10493
631,12120
3536,9398
2025,642
4476,2765
2026,1801
4386,13889
110,2444
3030,129
5844,2151
4103,5179
5299,12777
2883,6073
5278,11278
368,12184
14,13231
3502,125
491,13346
3009,14297
1451,438
5963,12565
337,7303
1601,7718
3485,1693
2335,14269
4020,13267
1006,5871
5302,14727
1452,4809
4383,7690
3793,12057
3996,8847
3315,3340
4124,14059
271,1379
1859,6990
2887,10647
915,10768
3936,4849
1604,11419
411,1385
5763,3953
3890,9428
2900,10618
1310,3915
1891,12512
4769,11230
4483,4726
694,4159
3748,5176
613,13970
499,11656
338,10759
2872,5897
1658,14043
968,6972
1388,14222
5149,2825
2137,4784
885,6922
3928,6916
1009,13672
3805,3297
822,7646
5756,9281
1316,10507
1318,5353
1036,12808
4824,9995
4868,13858
5339,9451
669,13701
4640,9111
3466,6704
457,7271
430,1023
112,10594
347,10301
1241,2288
3368,3257
222,9821
5227,5913
1762,14519
2943,13912
1068,7570
4045,4991
4405,1722
2117,11527
1907,8812
1296,6397
1162,9259
3301,7099
3073,1491
3905,1102
4990,3690
4223,8871
1842,1965
1367,6216
4982,13905
4385,4599
4381,7577
1507,1235
4417,363
2095,3110
1585,7697
3830,11396
3395,5542
1196,6653
519,13898
4248,4834
2552,5216
5538,3214
5961,2293
3779,487
5156,6290
3543,6818
5046,2697
3141,11448
5283,10549
603,13369
1835,6775
1645,14226
5406,3990
5517,14007
4916,7259
5945,4396
3198,7027
2930,706
2150,4788
371,347
1901,14642
1626,6673
5726,2206
3165,10974
5747,10513
4275,14489
4631,14635
1790,5285
2608,12564
978,8357
5820,8178
4096,13644
2783,14179
914,7086
2077,897
556,4799
1842,7761
1699,12430
3652,2216
4102,3789
1581,11653
2202,9556
3472,8722
1585,12146
3976,881
3263,10026
4628,4227
854,12802
3680,3078
5498,4832
5890,9030
3736,10262
892,5870
692,10181
3349,2777
2411,2433
4084,8519
3060,9211
971,5544
5557,10395
2345,827
3104,9564
3487,2186
5212,12487
4314,1216
1508,10833
3857,14593
2706,6921
623,10629
3703,4443
1350,57
3248,3980
4195,13485
4945,2149
2872,9062
792,10055
1315,10624
4924,9015
5801,2434
3620,9388
1857,12087
516,5509
889,1336
500,6746
5545,5089
5194,5116
342,7689
2834,6086
4113,10152
527,13280
1596,4186
2251,2119
2367,10427
5605,10627
2752,13673
2244,1395
2356,9276
3133,7150
2567,6791
5033,12794
1175,9835
770,8466
5263,7055
1006,5964
3849,13479
5774,8667
3537,3364
5620,9447
2993,12706
5955,14891
204,2931
1948,10521
2154,3922
664,5105
3630,3955
3774,9521
4807,14396
5484,5871
4567,9124
5271,6158
336,9624
3327,9036
346,7226
4762,6826
4625,2029
5811,10613
1408,8163
4973,9691
1143,7334
302,2180
343,1012
3330,9666
2277,9301
2851,1064
2849,9435
4714,2066
4580,10216
4594,13989
1208,7279
315,13969
3352,2591
2013,5038
1275,7191
592,1570
4281,4294
5863,454
85,9288
1396,4269
698,7606
1050,11063
2222,9717
657,5521
3033,7563
773,6803
658,2244
529,1761
185,666
2025,8209
1330,3722
5954,4186
4345,5835
5451,13665
1534,14024
4504,7188
5799,10488
5603,5832
4850,7271
5246,12984
3660,2776
5776,1724
1057,10973
1310,13080
2060,4092
4255,14382
189,447
5172,10867
5079,436
1121,8364
4042,13498
5698,12057
4036,9798
5860,11287
2763,11780
2196,6884
3956,394
418,3555
4902,10933
2809,3393
5039,10900
2955,3118
3877,14811
1442,846
4719,3526
900,2452
1840,6223
5605,8248
3997,5091
1567,14786
4575,2983
648,11050
3821,7536
4740,5812
3542,9708
3631,11699
2905,7206
954,4714
1965,11368
1786,11948
2907,4148
2469,7386
1685,12523
5306,9585
941,6891
3846,12479
4699,6620
2,12682
5974,7332
4366,13387
1359,8959
3842,11991
3506,3103
3840,14819
2479,4594
3168,12448
1391,3066
5170,14636
1304,2163
5282,4724
4004,395
4709,7975
1544,2674
1273,4565
4427,10399
4731,9561
3191,1457
4195,5945
2535,1254
5794,14281
4577,8045
738,10896
3062,13448
2318,5472
325,5385
2473,11692
3106,1292
1655,8750
4336,14078
1182,3802
5099,14267
923,1011
4642,9563
5029,1071
2802,3174
652,7005
4081,8886
2169,13337
4466,8127
150,12902
5457,11442
2049,3969
1854,12507
2989,1388
3815,1225
1077,4885
446,14256
4109,14657
3368,14747
2420,3205
3229,8016
105,7108
1347,10059
1644,13665
4725,14516
2077,8058
153,13640
4201,7412
4821,12606
418,194
3606,2665
929,10212
314,7969
5572,1531
3826,12873
75,13595
5878,7444
2799,13036
3186,4743
5632,6637
3124,4325
1469,13186
1450,9228
1294,3274
4664,13502
5435,12879
5144,8754
4930,11194
5001,5993
1835,6831
5443,2580
2626,3665
5665,8290
5304,591
2788,12851
4413,10461
5128,7036
303,1479
5881,6575
5187,14293
4948,14595
5850,2287
765,10551
537,7827
378,7376
208,6490
2012,13659
5603,206
1036,9496
152,13455
4338,7822
4594,4658
2312,1553
5826,9693
914,2956
4321,6058
3595,8083
4716,21
4975,11167
5548,7912
3147,12070
5811,303
2245,13536
2246,2819
5961,12835
2299,7932
5646,8249
1777,5808
2778,7867
4411,11138
3234,1257
5558,6293
3113,8426
5697,1506
2859,13908
5555,815
1998,12736
87,13601
2674,6688
5755,2404
1959,7839
581,9905
3454,2777
3694,1592
2017,2561
4532,8091
1808,12531
2108,7398
107,4598
505,4348
3532,2938
5589,14417
767,3825
220,3991
3151,7829
943,4638
2601,9760
3665,1789
4073,3226
4429,2489
597,6671
2010,6916
4580,8604
4973,7691
2401,6682
2178,11251
4695,82
1408,10437
4586,5220
3127,5433
5605,1173
700,5412
2171,8930
5407,4289
5860,12368
5559,1780
3806,13425
2796,5193
375,7456
2462,10262
5672,9275
2653,8549
660,13637
4398,8847
1065,8278
2666,5163
1185,2489
1717,759
4396,6677
5371,676
3149,2558
5361,12572
2568,1333
2837,2995
1374,743
1981,9670
16,6649
1273,14754
1053,5204
1019,592
1266,6247
3262,12193
478,4726
3135,7162
1020,1280
3995,2868
586,4344
712,4399
4121,7270
4058,1390
3169,11677
2437,1324
5343,9154
3738,1187
4272,1763
5376,2637
3149,579
2629,1475
4850,4793
1694,12961
3070,5252
5172,1510
5081,5454
2148,5812
1867,13175
144,10353
1962,14794
3335,1316
2543,3387
491,9034
1048,5722
2550,6201
1067,451
3700,13864
538,6512
1874,14114
4565,219
5538,14482
105,12605
2419,10060
4361,9456
4716,4318
5691,4897
4322,4490
3955,4735
5636,7821
612,9894
2147,3273
1050,9122
5995,11958
4491,14581
195,14396
3506,12856
4404,13514
3101,10635
4572,734
3397,4986
5627,10394
4642,3860
4967,8960
4302,13256
4065,2314
286,14699
287,14301
5672,10790
3515,548
4304,12732
4091,14452
1602,9994
451,1019
872,8216
5050,6543
1621,6524
23,1350
83,8285
275,2272
877,11772
465,14005
1284,10691
2498,6146
4003,12369
1706,483
1840,7568
2024,3053
4755,2582
4021,4354
382,10548
2366,5471
2994,6366
2166,3114
3604,2211
3874,6252
1011,11204
2316,1142
2015,134
639,1522
843,12005
5721,12100
3295,1352
4674,11525
3659,3986
3094,3921
1445,8847
2878,999
3332,2976
5318,14055
377,9905
4442,3675
5698,1707
4395,958
852,12131
1231,6947
3900,7976
22,3201
777,1920
4960,7715
1551,8017
3109,12526
1058,14620
3666,7087
3817,5840
340,1497
2609,12349
1552,4328
510,13886
2308,5904
4886,5519
3992,13845
81,12674
4554,12970
2027,4529
5317,501
5275,2093
5315,11228
5859,3397
4842,8664
3002,9759
5783,8926
314,1525
4619,473
4180,14662
4118,6519
3755,12392
1811,6487
4302,1996
1954,9350
2960,3722
3001,2545
2224,3072
5536,13149
2706,13147
1917,1857
4567,1008
