HospitalName,Location,ContactInformation,EquipmentID,DepartmentID
ADVENTIST HEALTH CASTLE,"640 Ulukahiki Street, Kailua, Hawaii 96734",(808) 263-5500,,
HALE HO’OLA HAMAKUA,"45-547 Plumeria Street, Honokaa, Hawaii 96727",(808) 932-4100,,
HAWAII STATE HOSPITAL,"45-710 Keaahala Road, Kaneohe, Hawaii  96744",(808) 247-2191,,
HILO MEDICAL CENTER,"1190 Waianuenue Avenue, Hilo, Hawaii  96720",(808) 932-3000,,
KAHI MOHALA,"91-2301 Fort Weaver Road, Ewa Beach, Hawaii  96706",(808) 671-8511,,
KAHUKU MEDICAL CENTER,"56-117 Pualalea Street, Kahuku, Hawaii 96731",(808) 293-9221,,
KAISER FOUNDATION HOSPITAL,"3288 Moanalua Road, Honolulu, Hawaii  96819",(808) 432-0000,,
KAPIOLANI MEDICAL CENTER for WOMEN and CHILDREN,"1319 Punahou Street, Honolulu, Hawaii 96826",(808) 983-6000,,
KAU HOSPITAL,"1 Kamani Street, Pahala, Hawaii 96777",(808) 932-4200,,
KAUAI VETERANS MEMORIAL HOSPITAL,"4643 Waimea Canyon Road, Waimea, Hawaii 96796",(808) 338-9431,,
KOHALA HOSPITAL,"54-383 Hospital Road, Kapaau, Hawaii 96755",(808) 889-6211,,
KONA COMMUNITY HOSPITAL,"79-1019 Haukapila Street, Kealakekua, Hawaii 96750",(808) 322-9311,,
KUAKINI MEDICAL CENTER,"347 North Kuakini Street, Honolulu, Hawaii 96817",(808) 536-2236,,
KULA HOSPITAL,"100 Keokea Place, Kula, Hawaii 96790-7450",(808) 878-1221,,
LANAI COMMUNITY HOSPITAL,"628 7th Street, Lanai City, Hawaii 96763",(808) 565-8450,,
LEAHI HOSPITAL,"3675 Kilauea Avenue, Honolulu, Hawaii 96816",(808) 733-8000,,
MAUI MEMORIAL MEDICAL CENTER,"221 Mahalani Street, Wailuku, Hawaii 96793",(808) 244-9056,,
MOLOKAI GENERAL HOSPITAL,"280 Home Olu Place, Kaunakakai, Hawaii 96748",(808) 553-5331,,
QUEEN’S NORTH HAWAII COMMUNITY HOSPITAL,"67-1125 Mamalahoa Highway, Kamuela, Hawaii 96743",(808) 885-4444,,
PALI MOMI MEDICAL CENTER,"98-1079 Moanalua Road, Aiea, Hawaii 96701",(808) 486-6000,,
REHABILITATION HOSPITAL OF THE PACIFIC,"226 North Kuakini Street, Honolulu, Hawaii 96817",(808) 531-3511,,
SAMUEL MAHELONA  MEMORIAL HOSPITAL,"4800 Kawaihau Road, Kapaa, Hawaii 96746",(808) 822-4961,,
SHRINERS HOSPITAL FOR  CHILDREN,"1310 Punahou Street, Honolulu, Hawaii 96826",(808) 941-4466,,
STRAUB CLINIC AND HOSPITAL,"888 South King Street, Honolulu, Hawaii 96813",(808) 522-4000,,
THE QUEEN’S MEDICAL CENTER,"1301 Punchbowl Street, Honolulu, Hawaii 96813",(808) 538-9011,,
THE QUEEN’S MEDICAL CENTER – HALE PULAMA MAU,"Kuakini Medical Center, 347 N. Kuakini Street, 7th Floor, Honolulu, Hawaii 96817",(808) 691-8731,,
THE QUEEN’S MEDICAL CENTER – WEST OAHU,"91-2141 Fort Weaver Road, Ewa Beach, Hawaii 96706",(808) 691-3000,,
WAHIAWA GENERAL HOSPITAL,"128 Lehua Street, Wahiawa, Hawaii 96786",(808) 621-8411,,
WILCOX MEMORIAL HOSPITAL,"3-3420 Kuhio Highway, Lihue, Hawaii 96766",(808) 245-1100,,
