ItemCode,ItemDescription,PartDescription,IsExpiryDateRequired,MinPrice,MaxPrice,Brand,Status,ExpiryAgeMonths,CurrentStock,SupplierID
BP0018,Motors/ Micromotors/ Carbon brushes,Flow motor,Yes,500.00,800.00,Common,Active,0.00,0,1
BP0025,Sensors/ Detectors,O2 Sensor OOM202,Yes,280.00,380.00,Common,Active,0.00,0,2
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Door 22MM Bubble C.Holder 4008SV10,No,800.00,826.80,Fresenius,Active,0.00,3,3
BP0001,Batteries/ UPS,Battery Pack Fot Tec 7731K,Yes,650.00,1400.00,Nihon Kohden,Active,0.00,2,4
BP0025,Sensors/ Detectors,DATEX OHMEDA Spo2 FINGER SENSOR Trusignal (TS-F-D),Yes,385.00,393.00,,Active,0.00,10,5
BP0025,Sensors/ Detectors,FLOW TRANDUCER GE,Yes,450.00,790.00,Ge,Active,0.00,1,6
BP0003,Bulbs/ Lamps,Bulb 12v 30w,Yes,127.00,130.00,Haag-Streit,Active,0.00,24,7
BP0001,Batteries/ UPS,Battery AA (Alkaline),Yes,1.85,2.24,Energizer,Active,0.00,595,8
BP0011,Equipment Specific Parts,Label Remover,No,25.00,60.00,Common,Active,,0,9
BP0003,Bulbs/ Lamps,Bulb 12v 100w (64623 HLX),Yes,85.00,550.00,Osram,Active,3.00,10,10
BP0027,Switchs/ Knobs/Buttons,Read Switch,Yes,80.00,85.00,TOSHIBA,Active,0.00,0,11
BP0011,Equipment Specific Parts,STP Foam Cleaner,Yes,27.50,75.00,Common,Active,0.00,17,12
BP0011,Equipment Specific Parts,Ambersil - Label Remover,Yes,42.00,250.00,,Active,0.00,13,13
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Swive Air Hose,Yes,600.00,650.00,,Active,0.00,0,14
BP0018,Motors/ Micromotors/ Carbon brushes,Fresenius 4008S Motor Assy Degassing Complete,Yes,10.00,1000.00,Fresenius,Active,0.00,1,15
BP0003,Bulbs/ Lamps,PROJECTION LAMP 24V 250W OSRAM,Yes,9.50,10.00,Common,Active,0.00,18,16
BP0003,Bulbs/ Lamps,Bulb 12V 50W,Yes,185.00,190.00,Leica,Active,0.00,0,17
BP0027,Switchs/ Knobs/Buttons,Fresenius 4008S Float Switch Complete,Yes,172.04,190.00,Fresenius,Active,0.00,0,18
BP0026,Solenoids/ Valves/ Gauges,Fresenius 4008S Reliief valve completed,Yes,179.00,197.00,Fresenius,Active,0.00,0,19
BP0025,Sensors/ Detectors,SPO2 REUSABLE SENSOR PEDIATRIC LNCS DCIP,Yes,700.00,750.00,MASIMO,Active,0.00,4,20
BP0021,Power Cords/ Adaptors (or any part of it),COMMON ITEM POWER CORD 3 MTR,Yes,19.50,37.00,Common,Active,0.00,21,21
BP0011,Equipment Specific Parts,EQUIPMENT SPECIFIC PARTS (IN HOUSE),No,10001.00,100000.00,Shimadzu,Active,,5,22
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,Male & Female Connector,Yes,2.00,2.50,Accoson,Active,0.00,46,23
BP0006,Cuffs,X-Large Cuff Adult 1 TB,Yes,10.00,13.00,Critikon/Velcro,Active,0.00,23,24
BP0012,Filters,Diacap Ultra DF - Online Filter,Yes,300.00,370.00,B.Braun,Active,0.00,10,25
BP0003,Bulbs/ Lamps,Lamp for Laryngoscope,Yes,26.00,60.00,Welch Allyn,Active,0.00,5,26
BP0001,Batteries/ UPS,Rechargeable Battery 12V 700Mah,Yes,150.00,200.00,Top,Active,0.00,11,27
BP0004,Cables/ Lead Wires (or any part of it),NIHON KOHDEN CHEST ELECTROLUDE ADULT COMPLEX,Yes,60.00,92.00,Nihon Kohden,Active,0.00,16,28
BP0003,Bulbs/ Lamps,BULB 6V 20W,Yes,165.00,241.50,Topcon,Active,0.00,1,29
BP0003,Bulbs/ Lamps,Bulb WELCH ALLYN 03100,Yes,35.00,55.20,Welch Allyn,Active,0.00,2,30
BP0003,Bulbs/ Lamps,3.5v Streak Lamp 08200,Yes,35.00,69.00,Welch Allyn,Active,0.00,9,31
BP0001,Batteries/ UPS,BATTERY SERVO-I MARQUET,Yes,1200.00,1610.00,,Active,0.00,1,32
BP0001,Batteries/ UPS,BATTERY LITHIUM ION,Yes,650.00,1035.00,PHILIPS,Active,0.00,4,33
BP0004,Cables/ Lead Wires (or any part of it),Transpac IV Cable HP PHILIPS,Yes,250.00,500.00,Philips,Active,0.00,4,34
BP0004,Cables/ Lead Wires (or any part of it),SPO2 Adult Finger Clip Sensor M1196A,Yes,300.00,700.00,Philips,Active,0.00,0,35
BP0001,Batteries/ UPS,Battery 6v 2200 mah,Yes,140.00,500.00,Fresenius,Active,0.00,0,36
BP0003,Bulbs/ Lamps,300 Watts Xenon Lamp,Yes,1330.00,1667.50,Olympus,Active,0.00,0,37
BP0006,Cuffs,CUFF S/H ADULT (PHILIPS),Yes,90.00,300.00,AGILENT,Active,0.00,13,38
BP0025,Sensors/ Detectors,Oxygen Sensor,Yes,700.00,1380.00,,Active,0.00,0,39
BP0004,Cables/ Lead Wires (or any part of it),POWER CORD 5 METER 3 PIN,Yes,27.50,50.00,Erbe,Active,0.00,1,40
BP0011,Equipment Specific Parts,Power Board,Yes,720.00,1000.00,,Active,0.00,2,41
BP0004,Cables/ Lead Wires (or any part of it),Cable 5 leadset grabber M1971A,Yes,480.00,715.00,Philips,Active,0.00,1,42
BP0011,Equipment Specific Parts,MAINTAINANCE SPARE PART (IN HOUSE),Yes,7.00,22000.00,,Active,0.00,3,43
BP0006,Cuffs,Cuff Connector Female,Yes,3.00,7.00,COLIN,Active,0.00,3,44
BP0012,Filters,Cotton Filter-20 Inch,Yes,15.00,32.20,Waterman,Active,0.00,20,45
BP0004,Cables/ Lead Wires (or any part of it),"MINDRAY SPO2 Extension Cable, Sensor 2.4m (0010-20-42594)",Yes,110.00,120.00,Mindray,Active,0.00,23,46
BP0025,Sensors/ Detectors,SIEMENS SERVO 9000 OXYGEN SENSOR OOM202,Yes,159.85,218.50,Siemens,Active,0.00,0,47
BP0010,Electronic Components,PETTY CASH,Yes,1.00,500.00,Common,Active,0.00,57,48
BP0006,Cuffs,Cuff Connector Male,Yes,3.00,6.00,COLIN,Active,0.00,11,49
BP0001,Batteries/ UPS,Rechargeable Battery,Yes,140.00,168.00,Top,Active,0.00,0,50
BP0026,Solenoids/ Valves/ Gauges,Vent. Exhalation Valve Assy,Yes,854.00,1708.00,BIRD,Active,0.00,0,51
BP0026,Solenoids/ Valves/ Gauges,VALVE SPRING SET BIC-4008/S V10,No,100.00,300.00,Fresenius,Active,,8,52
BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,"Battery Cover Assembly ,TOP 3300",Yes,257.15,334.10,TOP,Active,0.00,4,53
BP0025,Sensors/ Detectors,Oxygen Sensor,Yes,1200.00,1380.00,,Active,0.00,0,54
BP0025,Sensors/ Detectors,Drop Sensor TOP 3300 (89T) T6330522,Yes,718.00,825.70,Top,Active,0.00,0,55
BP0011,Equipment Specific Parts,900MR858 Electrical Adaptor,Yes,298.80,343.62,Fisher & Paykel,Active,0.00,2,56
BP0026,Solenoids/ Valves/ Gauges,Solenoid Valve (Chamber),Yes,370.00,425.50,Fresenius,Active,0.00,8,57
BP0004,Cables/ Lead Wires (or any part of it),ECG 3 LEAD TRUNK CABLE,Yes,300.00,500.00,Philips,Active,0.00,10,58
BP0025,Sensors/ Detectors,ANASTHESIA,Yes,200.00,275.00,Common,Active,0.00,13,59
BP0004,Cables/ Lead Wires (or any part of it),Cable 5 lead ECG trunk M1668A,Yes,500.00,650.00,Philips,Active,0.00,1,60
BP0025,Sensors/ Detectors,Oxygen Sensor (OOM102-1),Yes,300.00,320.00,ULCO,Active,6.00,0,61
BP0001,Batteries/ UPS,"Rechargeable Battery 11.1V, Mindray iMEC8",No,400.00,450.00,Mindray,Active,,2,62
BP0012,Filters,Diasafe Plus Filter,No,200.00,242.50,Fresenius,Active,0.00,0,63
BP0023,PPM/ Service/Maintenance/ Repair Kits,Fresenius 4008S PPM Kit Yearly,No,500.00,530.00,FRESENIUS,Active,0.00,0,64
BP0003,Bulbs/ Lamps,"Bulb 24 V 150 W, OSRAM",No,6.70,7.60,Osram,Active,0.00,0,65
BP0006,Cuffs,Cuff Cylindrical 34 Ats,No,400.00,460.00,Common,Active,,0,66
BP0025,Sensors/ Detectors,SIPAP MACHINE OXYGEN SENSOR FABIAN OOM204,No,450.00,480.00,Acutronic,Active,0.00,0,67
BP0004,Cables/ Lead Wires (or any part of it),SCHILLER 10 LEAD ECG CABLE BANANA TYPE,No,120.00,150.00,SCHILLER,Active,0.00,0,68
BP0003,Bulbs/ Lamps,Bulb 12V 100W (64627),No,10.00,11.50,Siemens,Active,,9,69
BP0011,Equipment Specific Parts,MMS Module,No,2700.00,2800.00,,Active,,3,70
BP0001,Batteries/ UPS,BATTERY B. BRAUN INFUSOMAT,No,200.00,220.00,B.Braun,Active,,0,71
BP0025,Sensors/ Detectors,Spo2 Sensor Adult Original DS100A,No,400.00,430.00,Nellcor,Active,,6,72
BP0024,Printed Circuit Boards (PCB; Other than Power Supply),MODULE MONTARA AM-12,No,2000.00,2300.00,,Active,,0,73
BP0028,Transducers/ Probes,Ultrasound Tranducer,No,1300.00,1400.00,Hewlett Packard,Active,0.00,2,74
BP0004,Cables/ Lead Wires (or any part of it),ECG TRUNK CABLE PROPAQ LT 3 LEAD,No,100.00,125.00,Welch Allyn,Active,,4,75
BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE TRUSIGNAL GE WITH CONNECTOR,No,100.00,125.00,Datex Ohmeda,Active,,3,76
BP0026,Solenoids/ Valves/ Gauges,RELEASE VALVE DIAPHRAGM,No,37.00,40.00,ULCO,Active,,15,77
BP0025,Sensors/ Detectors,Oxygen Cell OOM102,No,260.00,280.00,Acutronic,Active,,0,78
BP0003,Bulbs/ Lamps,LED BULB OPHTHALMOSCOPE,No,600.00,620.00,Keeler,Active,,4,79
BP0019,O-Rings/ Belts/ Seals/ Gaskets/ Washers,YELLOW BELT,No,190.00,195.00,,Active,,2,80
BP0004,Cables/ Lead Wires (or any part of it),PHILIPS 5 LEAD TRUNK CABLE ECG M1530A,No,125.00,140.00,Hewlett Packard,Active,0.00,4,81
BP0025,Sensors/ Detectors,Spo2 finger sensor M1191BL,No,10.00,400.00,AGILENT,Active,0.00,0,82
BP0003,Bulbs/ Lamps,Bulb Laryngoscope Adult Penlon 55091,No,20.00,23.00,Penlon,Active,0.00,17,83
BP0011,Equipment Specific Parts,KEYPAD ORALIX,No,200.00,250.00,Common,Active,,1,84
BP0028,Transducers/ Probes,2Mhz Tranducer (Blue),No,2000.00,2300.00,Oxford Instrument,Active,0.00,1,85
BP0011,Equipment Specific Parts,Water Trap,No,10.00,115.00,Draeger,Active,,10,86
BP0002,Blankets/ Mattresses,HUNTLEGLY RIPPLE MATTRESS,No,500.00,650.00,HUNTLEIGH,Active,0.00,0,87
BP0004,Cables/ Lead Wires (or any part of it),SPO2 FINGER SENSOR NIHON KOHDEN,No,10.00,280.00,Nihon Kohden,Active,,7,88
BP0003,Bulbs/ Lamps,BULB OSRAM XBOR 300W/60C,No,10.00,2950.00,Karl Storz,Active,,2,89
BP0004,Cables/ Lead Wires (or any part of it),ECG USB Cable,No,10.00,1200.00,MORTARA,Active,,2,90
BP0011,Equipment Specific Parts,LED BULB 3.5V Opthalmoscope,No,150.00,170.00,Keeler,Active,,1,91
BP0025,Sensors/ Detectors,"Spo2 Finger Sensor Adult, Trusat",No,10.00,150.00,Ge,Active,,1,92
BP0014,Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes,MATRESS SIDE 9MM CONNECTER,No,10.00,95.00,,Active,,3,93
BP0013,Heater Elements,"Heater 230-240Vac, 50/60Hz",No,10.00,600.00,,Active,,0,94
BP0001,Batteries/ UPS,BATTERY CR-1/3N,No,10.00,25.00,,Active,,2,95
BP0004,Cables/ Lead Wires (or any part of it),SPO2 Extension Cable PN:0010-20-42710 or 562A,No,10.00,120.00,,Active,,0,96
BP0028,Transducers/ Probes,CARDIOTOCOGRAPH Toco Ultrasound Tranducer (Pink),No,10.00,2800.00,Common,Active,0.00,3,97
BP0025,Sensors/ Detectors,OXYGEN SENSOR,No,10.00,598.00,NEWPORT,Active,0.00,12,98
BP0011,Equipment Specific Parts,EXPIRATORY CASSETE,No,10.00,6000.00,,Active,,0,99
BP0003,Bulbs/ Lamps,SOCKET BULB BLUE 130 MAQUET OT LIGHT,No,10.00,420.00,,Active,,7,100
BP0025,Sensors/ Detectors,DATEX OHMEDA (AESTIVA 5) 02 CELL 6050-0004-110,Yes,250.00,390.00,,Active,6.00,3,101
BP0004,Cables/ Lead Wires (or any part of it),NIHON KOHDEN Fast Clip Ecg Electrode,No,10.00,65.00,Nihon Kohden,Active,0.00,6,102
BP0003,Bulbs/ Lamps,BULB MAQUET BLUE 22.8V 90W,No,10.00,225.00,Hanaulux,Active,,0,103
BP0025,Sensors/ Detectors,SPO finger sensor mindray adult 512F,No,10.00,250.00,Mindray,Active,,0,104
BP0011,Equipment Specific Parts,"Drop sensor,BRAND:ORALIX, MODEL:OR-1500H",No,100.00,360.00,,Active,,8,105
BP0004,Cables/ Lead Wires (or any part of it),EXTENSION CABLE RC-12,No,125.00,450.00,Masimo,Active,0.00,0,106
BP0022,Power Supply Unit (PCB or Module)/ Transfomer,CHARGERMODULE ASSY,No,9432.00,10000.00,GE,Active,,0,107
BP0007,Diaphragms/ Pumps,Ultrafiltration Pump,No,2180.25,2500.00,Fresenius,Active,,0,108
BP0006,Cuffs,Cuff Cylindrical 34 Ats,No,460.00,500.00,Zimmer,Active,,0,109
BP0006,Cuffs,Cuff Cylindrical 24 Ats,No,460.00,600.00,Zimmer,Active,,2,110
BP0004,Cables/ Lead Wires (or any part of it),6 lead wire for telemetri transmitter for ge apex PRO part no:421930-001,No,125.00,200.00,Ge,Active,,3,111
