InvoiceNumber,EquipID,InvoiceDate
INV-00001,1899,2023-06-12
INV-00002,3611,2023-06-16
INV-00003,5192,2023-03-03
INV-00004,2797,2023-10-01
INV-00005,2948,2023-02-05
INV-00006,5596,2023-10-11
INV-00007,3430,2023-06-01
INV-00008,3364,2023-08-25
INV-00009,4334,2023-10-24
INV-00010,5494,2023-06-25
INV-00011,2078,2023-02-04
INV-00012,4397,2023-04-06
INV-00013,1254,2023-04-27
INV-00014,4308,2023-02-05
INV-00015,1504,2023-02-26
INV-00016,3421,2023-12-20
INV-00017,1418,2023-04-09
INV-00018,2469,2023-08-10
INV-00019,4826,2023-08-04
INV-00020,671,2023-05-06
INV-00021,2209,2023-08-14
INV-00022,3081,2023-08-20
INV-00023,2765,2023-02-15
INV-00024,4524,2023-07-09
INV-00025,4012,2023-02-13
INV-00026,989,2023-05-20
INV-00027,4755,2023-10-09
INV-00028,5433,2023-11-04
INV-00029,1626,2023-08-27
INV-00030,1956,2023-05-10
INV-00031,4878,2023-02-17
INV-00032,4635,2023-10-28
INV-00033,3377,2023-01-12
INV-00034,2261,2023-04-23
INV-00035,5319,2023-12-20
INV-00036,5988,2023-06-30
INV-00037,1103,2023-12-03
INV-00038,2703,2023-05-26
INV-00039,1065,2023-01-29
INV-00040,2240,2023-09-07
INV-00041,2196,2023-11-05
INV-00042,2608,2023-11-16
INV-00043,4967,2023-11-02
INV-00044,4719,2023-07-17
INV-00045,1590,2023-10-24
INV-00046,1843,2023-09-27
INV-00047,1129,2023-03-31
INV-00048,470,2023-05-30
INV-00049,5588,2023-12-02
INV-00050,4554,2023-07-03
INV-00051,5583,2023-01-29
INV-00052,1112,2023-05-10
INV-00053,3588,2023-01-19
INV-00054,3616,2023-04-30
INV-00055,254,2023-09-10
INV-00056,3577,2023-10-04
INV-00057,4452,2023-03-26
INV-00058,3522,2023-01-24
INV-00059,3436,2023-08-24
INV-00060,1303,2023-06-21
INV-00061,2034,2023-02-02
INV-00062,4845,2023-09-23
INV-00063,4736,2023-08-13
INV-00064,1446,2023-02-13
INV-00065,3757,2023-09-29
INV-00066,2352,2023-10-20
INV-00067,513,2023-07-12
INV-00068,3253,2023-03-01
INV-00069,1515,2023-08-19
INV-00070,343,2023-09-07
INV-00071,553,2023-10-25
INV-00072,1807,2023-03-17
INV-00073,4529,2023-09-13
INV-00074,102,2023-09-10
INV-00075,1162,2023-11-17
INV-00076,5578,2023-12-19
INV-00077,5671,2023-06-02
INV-00078,2417,2023-08-05
INV-00079,4512,2023-05-14
INV-00080,5158,2023-09-18
INV-00081,2826,2023-09-10
INV-00082,110,2023-10-20
INV-00083,4315,2023-04-28
INV-00084,2635,2023-01-28
INV-00085,981,2023-01-01
INV-00086,625,2023-06-07
INV-00087,3340,2023-03-15
INV-00088,2047,2023-11-14
INV-00089,2082,2023-01-03
INV-00090,2747,2023-10-15
INV-00091,5885,2023-08-12
INV-00092,4244,2023-11-28
INV-00093,2140,2023-06-27
INV-00094,4313,2023-08-13
INV-00095,419,2023-04-14
INV-00096,3048,2023-05-09
INV-00097,2558,2023-09-03
INV-00098,1628,2023-11-04
INV-00099,1633,2023-01-26
INV-00100,3830,2023-07-17
INV-00101,3891,2023-02-18
INV-00102,596,2023-05-22
INV-00103,2920,2023-08-27
INV-00104,369,2023-05-19
INV-00105,62,2023-05-05
INV-00106,4387,2023-07-18
INV-00107,4572,2023-11-29
INV-00108,4564,2023-06-07
INV-00109,633,2023-11-17
INV-00110,1723,2023-07-04
INV-00111,3762,2023-01-03
INV-00112,4928,2023-01-11
INV-00113,3411,2023-07-29
INV-00114,1666,2023-04-14
INV-00115,132,2023-07-19
INV-00116,1139,2023-09-12
INV-00117,4198,2023-03-16
INV-00118,3543,2023-12-28
INV-00119,5640,2023-08-15
INV-00120,1483,2023-08-16
INV-00121,3449,2023-03-28
INV-00122,2086,2023-12-27
INV-00123,4137,2023-01-26
INV-00124,1181,2023-09-26
INV-00125,1049,2023-04-20
INV-00126,4903,2023-10-06
INV-00127,1068,2023-06-14
INV-00128,4141,2023-05-22
INV-00129,2534,2023-11-03
INV-00130,3453,2023-01-01
INV-00131,5741,2023-04-08
INV-00132,3515,2023-10-13
INV-00133,545,2023-07-03
INV-00134,3803,2023-11-21
INV-00135,4750,2023-12-07
INV-00136,3784,2023-03-16
INV-00137,3385,2023-10-20
INV-00138,3833,2023-03-03
INV-00139,5403,2023-07-24
INV-00140,5305,2023-08-31
INV-00141,4418,2023-09-08
INV-00142,3221,2023-05-27
INV-00143,4687,2023-07-09
INV-00144,5415,2023-07-10
INV-00145,3577,2023-02-14
INV-00146,1655,2023-06-15
INV-00147,2511,2023-03-11
INV-00148,2409,2023-04-25
INV-00149,243,2023-04-22
INV-00150,187,2023-02-02
INV-00151,1724,2023-08-30
INV-00152,3289,2023-05-20
INV-00153,1775,2023-10-19
INV-00154,3392,2023-11-05
INV-00155,5611,2023-01-19
INV-00156,4794,2023-09-12
INV-00157,1038,2023-01-09
INV-00158,5713,2023-11-09
INV-00159,1785,2023-05-06
INV-00160,2699,2023-05-31
INV-00161,3515,2023-11-10
INV-00162,583,2023-10-28
INV-00163,277,2023-07-27
INV-00164,1819,2023-07-23
INV-00165,193,2023-03-13
INV-00166,5099,2023-06-27
INV-00167,4771,2023-03-30
INV-00168,3020,2023-03-23
INV-00169,1019,2023-05-31
INV-00170,5620,2023-06-20
INV-00171,3312,2023-11-17
INV-00172,2201,2023-03-07
INV-00173,867,2023-04-06
INV-00174,876,2023-07-24
INV-00175,4360,2023-02-24
INV-00176,400,2023-10-13
INV-00177,3778,2023-02-22
INV-00178,2455,2023-11-13
INV-00179,3022,2023-05-12
INV-00180,4912,2023-12-01
INV-00181,5225,2023-11-24
INV-00182,5719,2023-11-22
INV-00183,159,2023-06-03
INV-00184,4230,2023-10-10
INV-00185,1192,2023-02-14
INV-00186,5952,2023-07-26
INV-00187,4889,2023-04-01
INV-00188,1625,2023-01-18
INV-00189,324,2023-01-03
INV-00190,1463,2023-07-07
INV-00191,2415,2023-06-03
INV-00192,262,2023-05-16
INV-00193,1072,2023-09-05
INV-00194,1155,2023-04-04
INV-00195,5872,2023-01-22
INV-00196,474,2023-09-03
INV-00197,3879,2023-07-09
INV-00198,1840,2023-02-13
INV-00199,4161,2023-11-22
INV-00200,1887,2023-03-08
INV-00201,1070,2023-10-28
INV-00202,5356,2023-09-10
INV-00203,4653,2023-05-04
INV-00204,2052,2023-01-12
INV-00205,5484,2023-08-24
INV-00206,4044,2023-06-27
INV-00207,2730,2023-12-05
INV-00208,2870,2023-04-22
INV-00209,1971,2023-05-17
INV-00210,5796,2023-04-25
INV-00211,3434,2023-09-29
INV-00212,3694,2023-10-30
INV-00213,12,2023-04-06
INV-00214,4154,2023-11-24
INV-00215,274,2023-05-28
INV-00216,1787,2023-03-10
INV-00217,117,2023-09-23
INV-00218,2200,2023-01-18
INV-00219,5364,2023-03-11
INV-00220,5197,2023-02-15
INV-00221,2869,2023-01-13
INV-00222,5420,2023-05-22
INV-00223,1880,2023-08-28
INV-00224,2301,2023-04-16
INV-00225,1791,2023-03-19
INV-00226,1140,2023-07-29
INV-00227,3994,2023-10-28
INV-00228,3703,2023-05-24
INV-00229,2200,2023-10-30
INV-00230,4228,2023-03-12
INV-00231,5780,2023-09-17
INV-00232,4299,2023-08-08
INV-00233,3202,2023-01-15
INV-00234,4078,2023-03-11
INV-00235,2508,2023-03-25
INV-00236,4319,2023-06-12
INV-00237,3870,2023-08-10
INV-00238,2906,2023-05-21
INV-00239,4921,2023-02-15
INV-00240,1302,2023-08-14
INV-00241,2167,2023-03-13
INV-00242,3741,2023-06-03
INV-00243,692,2023-02-03
INV-00244,1303,2023-10-14
INV-00245,373,2023-03-21
INV-00246,2622,2023-07-20
INV-00247,4535,2023-11-24
INV-00248,172,2023-02-27
INV-00249,2683,2023-09-28
INV-00250,1079,2023-08-31
INV-00251,4906,2023-10-18
INV-00252,2352,2023-11-11
INV-00253,908,2023-07-02
INV-00254,1056,2023-02-10
INV-00255,5899,2023-05-29
INV-00256,2521,2023-08-05
INV-00257,4423,2023-10-12
INV-00258,2262,2023-01-30
INV-00259,4066,2023-01-05
INV-00260,4020,2023-11-25
INV-00261,5057,2023-04-26
INV-00262,849,2023-05-27
INV-00263,3767,2023-08-25
INV-00264,4666,2023-10-18
INV-00265,4194,2023-05-29
INV-00266,4929,2023-08-10
INV-00267,4497,2023-12-05
INV-00268,2340,2023-09-26
INV-00269,3903,2023-01-25
INV-00270,5527,2023-10-21
INV-00271,2241,2023-05-07
INV-00272,227,2023-07-24
INV-00273,4507,2023-05-23
INV-00274,4303,2023-06-17
INV-00275,5901,2023-08-02
INV-00276,1555,2023-06-28
INV-00277,3249,2023-04-08
INV-00278,5103,2023-12-06
INV-00279,4462,2023-05-23
INV-00280,3964,2023-10-19
INV-00281,2005,2023-07-18
INV-00282,4602,2023-01-02
INV-00283,4210,2023-06-28
INV-00284,192,2023-09-05
INV-00285,4492,2023-09-03
INV-00286,1683,2023-02-03
INV-00287,431,2023-01-18
INV-00288,3501,2023-05-08
INV-00289,3372,2023-04-09
INV-00290,3845,2023-03-16
INV-00291,4339,2023-02-01
INV-00292,4404,2023-04-03
INV-00293,2856,2023-10-28
INV-00294,5790,2023-06-16
INV-00295,4219,2023-05-28
INV-00296,1748,2023-07-18
INV-00297,483,2023-03-09
INV-00298,4637,2023-11-21
INV-00299,5665,2023-06-17
INV-00300,5057,2023-03-20
INV-00301,826,2023-06-12
INV-00302,463,2023-08-08
INV-00303,5428,2023-07-18
INV-00304,3468,2023-11-02
INV-00305,5193,2023-08-07
INV-00306,5363,2023-12-19
INV-00307,71,2023-03-20
INV-00308,2630,2023-02-02
INV-00309,3234,2023-03-13
INV-00310,3453,2023-03-20
INV-00311,3847,2023-12-18
INV-00312,4194,2023-05-22
INV-00313,329,2023-09-25
INV-00314,4026,2023-04-11
INV-00315,2346,2023-01-16
INV-00316,5069,2023-01-03
INV-00317,194,2023-07-30
INV-00318,1948,2023-03-09
INV-00319,1983,2023-06-06
INV-00320,4500,2023-11-30
INV-00321,3753,2023-03-10
INV-00322,2558,2023-02-20
INV-00323,5775,2023-09-19
INV-00324,229,2023-10-15
INV-00325,4183,2023-10-13
INV-00326,4234,2023-05-17
INV-00327,5845,2023-02-02
INV-00328,3261,2023-10-08
INV-00329,5358,2023-01-23
INV-00330,3570,2023-08-02
INV-00331,2110,2023-11-19
INV-00332,4583,2023-03-04
INV-00333,148,2023-01-16
INV-00334,5134,2023-12-13
INV-00335,2223,2023-09-13
INV-00336,2524,2023-09-01
INV-00337,1576,2023-08-11
INV-00338,3942,2023-07-14
INV-00339,3765,2023-02-26
INV-00340,5618,2023-06-11
INV-00341,5288,2023-05-29
INV-00342,3406,2023-01-07
INV-00343,5401,2023-07-16
INV-00344,3145,2023-12-24
INV-00345,2483,2023-05-28
INV-00346,4837,2023-11-15
INV-00347,70,2023-04-13
INV-00348,2876,2023-01-04
INV-00349,3836,2023-02-08
INV-00350,4553,2023-04-21
INV-00351,5447,2023-01-10
INV-00352,5414,2023-12-09
INV-00353,1592,2023-04-11
INV-00354,287,2023-06-10
INV-00355,955,2023-04-12
INV-00356,823,2023-10-07
INV-00357,944,2023-09-06
INV-00358,5770,2023-05-27
INV-00359,5211,2023-07-18
INV-00360,4127,2023-06-01
INV-00361,1433,2023-08-02
INV-00362,5042,2023-02-13
INV-00363,5691,2023-12-21
INV-00364,164,2023-02-07
INV-00365,5873,2023-06-29
INV-00366,5833,2023-04-08
INV-00367,5622,2023-07-16
INV-00368,330,2023-11-02
