EquipmentID,TechnicianID,MaintenanceDate,MaintenanceTypeID,Description
3246,382,9/15/2023,5,Routine inspection and cleaning
4640,4331,1/23/2023,2,Disinfection and sterilization
5291,3824,11/12/2023,9,Routine inspection and cleaning
101,858,10/7/2023,9,Routine inspection and cleaning
1384,1849,1/26/2023,3,Replaced worn-out components
2116,3374,7/13/2023,3,Routine inspection and cleaning
4273,4042,10/28/2023,2,Disinfection and sterilization
5812,2237,8/8/2023,7,Diagnostic tests and troubleshooting
3282,475,2/25/2023,5,Safety inspection and compliance check
3995,1879,5/3/2023,6,Safety inspection and compliance check
2538,2831,9/17/2023,2,Replaced worn-out components
2859,4388,6/2/2023,2,Verified calibration accuracy
1725,3174,2/23/2023,9,Calibrated equipment for accuracy
5849,2508,2/21/2023,6,Preventive maintenance
4905,3609,3/10/2023,8,Replaced worn-out components
5170,1982,11/23/2023,4,Verified calibration accuracy
3366,2311,7/15/2023,2,Verified calibration accuracy
2018,630,4/18/2023,5,Replaced faulty sensor
2339,1252,1/10/2023,7,Performed software update
5449,2640,4/8/2023,1,Disinfection and sterilization
2185,2900,3/11/2023,2,Calibrated equipment for accuracy
4992,1069,10/2/2023,5,Safety inspection and compliance check
273,1548,9/16/2023,1,Routine inspection and cleaning
4451,3412,3/16/2023,8,Performed software update
1269,4529,8/29/2023,2,Safety inspection and compliance check
5294,1641,8/3/2023,4,Performed software update
344,3243,1/30/2023,3,Emergency repair
876,2744,9/6/2023,2,Checked and tightened loose connections
4884,4784,4/21/2023,9,Performed software update
86,1962,6/3/2023,2,Lubricated moving parts
1910,3597,10/30/2023,8,Lubricated moving parts
2971,3794,9/10/2023,6,Performed software update
1242,3382,8/12/2023,6,Emergency repair
4063,3305,10/9/2023,6,Replaced worn-out components
2897,3840,12/19/2023,2,Emergency repair
3294,2856,12/5/2023,5,Disinfection and sterilization
2118,4573,5/1/2023,5,Routine inspection and cleaning
5742,1734,5/19/2023,6,Emergency repair
5879,3899,12/18/2023,9,Performed software update
5765,1650,1/20/2023,5,Routine inspection and cleaning
5173,1602,9/24/2023,3,Disinfection and sterilization
1181,1565,8/7/2023,9,Calibrated equipment for accuracy
2766,1746,2/19/2023,2,Calibrated equipment for accuracy
1874,2912,11/21/2023,7,Diagnostic tests and troubleshooting
4422,2151,7/30/2023,9,Lubricated moving parts
4287,2696,12/14/2023,3,Replaced faulty sensor
2485,4437,6/17/2023,2,Calibrated equipment for accuracy
2055,1690,12/14/2023,3,Emergency repair
4834,197,6/11/2023,6,Replaced worn-out components
2614,2524,4/4/2023,7,Checked and tightened loose connections
1464,3508,8/16/2023,3,Replaced worn-out components
2068,1432,8/9/2023,3,Diagnostic tests and troubleshooting
2185,279,10/12/2023,8,Replaced worn-out components
1945,2513,4/16/2023,9,Verified calibration accuracy
4660,1720,4/29/2023,4,Disinfection and sterilization
4488,1511,3/7/2023,2,Verified calibration accuracy
3322,4332,11/1/2023,1,Safety inspection and compliance check
1081,3341,9/9/2023,4,Checked and tightened loose connections
95,2854,3/26/2023,3,Verified calibration accuracy
4929,629,2/6/2023,7,Safety inspection and compliance check
2380,2773,3/24/2023,5,Calibrated equipment for accuracy
2776,567,7/14/2023,9,Verified calibration accuracy
4188,2469,6/20/2023,2,Disinfection and sterilization
3669,1376,6/29/2023,1,Safety inspection and compliance check
3098,3272,4/11/2023,7,Lubricated moving parts
3730,1445,9/27/2023,8,Lubricated moving parts
2824,1775,1/22/2023,3,Checked and tightened loose connections
5698,2505,10/15/2023,2,Replaced faulty sensor
5848,3581,2/26/2023,2,Verified calibration accuracy
1966,4648,9/22/2023,9,Lubricated moving parts
4689,4535,2/4/2023,4,Diagnostic tests and troubleshooting
4209,962,4/13/2023,3,Routine inspection and cleaning
5781,2542,5/6/2023,8,Calibrated equipment for accuracy
472,225,11/15/2023,9,Checked and tightened loose connections
656,1391,7/21/2023,9,Safety inspection and compliance check
545,2021,4/23/2023,9,Diagnostic tests and troubleshooting
3307,87,8/26/2023,8,Emergency repair
4118,2865,6/30/2023,6,Performed software update
2621,111,6/28/2023,9,Disinfection and sterilization
3744,390,9/14/2023,2,Performed software update
5427,2656,5/10/2023,5,Checked and tightened loose connections
338,2869,12/7/2023,8,Replaced worn-out components
5894,2283,8/1/2023,8,Checked and tightened loose connections
2669,1925,11/25/2023,4,Emergency repair
782,3519,3/13/2023,7,Preventive maintenance
77,4378,11/21/2023,8,Calibrated equipment for accuracy
3796,1423,12/3/2023,4,Performed software update
2492,1043,11/8/2023,2,Emergency repair
3423,1235,10/31/2023,1,Diagnostic tests and troubleshooting
3068,3212,9/23/2023,7,Preventive maintenance
4471,1778,9/19/2023,3,Replaced worn-out components
3257,2620,2/14/2023,5,Replaced faulty sensor
2512,2660,8/10/2023,8,Calibrated equipment for accuracy
3430,2371,12/25/2023,8,Routine inspection and cleaning
1723,1436,7/18/2023,6,Disinfection and sterilization
3446,1387,5/6/2023,4,Routine inspection and cleaning
512,3594,10/6/2023,6,Replaced faulty sensor
1285,1011,3/8/2023,2,Verified calibration accuracy
4801,3956,4/5/2023,7,Replaced faulty sensor
5278,1275,10/3/2023,5,Performed software update
4775,4315,8/8/2023,1,Verified calibration accuracy
725,1771,10/11/2023,4,Checked and tightened loose connections
4183,2327,1/20/2023,3,Lubricated moving parts
1800,2527,12/7/2023,3,Safety inspection and compliance check
2654,4380,10/14/2023,5,Routine inspection and cleaning
1541,3377,9/5/2023,9,Calibrated equipment for accuracy
5850,3873,8/28/2023,1,Replaced worn-out components
3295,2864,11/30/2023,1,Verified calibration accuracy
139,3623,3/28/2023,8,Emergency repair
4450,487,4/13/2023,3,Replaced faulty sensor
5388,1788,8/7/2023,7,Performed software update
4722,2167,4/10/2023,7,Lubricated moving parts
5983,2988,4/10/2023,9,Replaced worn-out components
5580,527,5/4/2023,2,Replaced worn-out components
3161,3367,2/24/2023,8,Lubricated moving parts
2530,4276,9/19/2023,5,Performed software update
3470,697,4/2/2023,5,Safety inspection and compliance check
4379,365,7/12/2023,3,Replaced faulty sensor
5802,3188,5/9/2023,1,Verified calibration accuracy
1604,3046,2/25/2023,7,Calibrated equipment for accuracy
3672,4548,5/7/2023,8,Disinfection and sterilization
1028,473,2/23/2023,4,Replaced faulty sensor
3910,4852,8/31/2023,5,Lubricated moving parts
2622,1025,2/13/2023,2,Performed software update
2520,166,9/26/2023,4,Diagnostic tests and troubleshooting
2365,1532,8/8/2023,6,Routine inspection and cleaning
2964,2462,2/20/2023,5,Preventive maintenance
131,3129,12/4/2023,8,Replaced faulty sensor
540,3075,5/1/2023,4,Lubricated moving parts
4887,2670,5/8/2023,9,Verified calibration accuracy
3401,2267,9/29/2023,5,Checked and tightened loose connections
2363,1283,9/30/2023,1,Routine inspection and cleaning
4148,276,4/10/2023,1,Disinfection and sterilization
2890,1854,10/23/2023,9,Emergency repair
670,1775,9/10/2023,6,Preventive maintenance
4705,1355,6/15/2023,3,Routine inspection and cleaning
5800,2422,4/5/2023,5,Replaced worn-out components
1436,841,10/4/2023,6,Disinfection and sterilization
2066,1115,10/15/2023,7,Performed software update
5301,4400,8/16/2023,8,Checked and tightened loose connections
5910,1857,4/13/2023,8,Replaced worn-out components
2761,2988,10/25/2023,5,Calibrated equipment for accuracy
2875,1569,12/25/2023,5,Replaced faulty sensor
5194,2249,1/4/2023,5,Checked and tightened loose connections
1996,1229,3/16/2023,8,Safety inspection and compliance check
1547,2293,4/3/2023,8,Diagnostic tests and troubleshooting
3354,2026,1/16/2023,9,Preventive maintenance
4542,2718,2/22/2023,9,Replaced worn-out components
4691,2187,12/20/2023,7,Disinfection and sterilization
351,2125,11/12/2023,5,Checked and tightened loose connections
4588,2781,1/21/2023,7,Routine inspection and cleaning
4126,3095,3/3/2023,8,Preventive maintenance
5754,3152,11/13/2023,3,Disinfection and sterilization
4614,3573,8/27/2023,7,Lubricated moving parts
702,4552,6/15/2023,7,Diagnostic tests and troubleshooting
3426,1323,7/11/2023,1,Verified calibration accuracy
4494,2344,6/1/2023,5,Safety inspection and compliance check
230,139,11/25/2023,4,Preventive maintenance
1905,3486,3/26/2023,9,Replaced worn-out components
2634,4995,1/8/2023,7,Routine inspection and cleaning
5288,51,10/27/2023,1,Replaced worn-out components
5456,2412,2/16/2023,9,Lubricated moving parts
519,4840,3/23/2023,7,Routine inspection and cleaning
5091,2521,11/9/2023,5,Safety inspection and compliance check
5992,3741,9/3/2023,9,Lubricated moving parts
92,639,1/18/2023,6,Verified calibration accuracy
2999,3966,1/30/2023,2,Safety inspection and compliance check
3661,2958,8/19/2023,4,Replaced faulty sensor
3445,4153,9/17/2023,5,Emergency repair
3598,2711,2/24/2023,5,Emergency repair
43,4890,4/8/2023,5,Routine inspection and cleaning
1849,4296,8/21/2023,6,Preventive maintenance
5142,84,2/8/2023,5,Emergency repair
3168,1083,6/21/2023,2,Replaced worn-out components
1431,3826,2/19/2023,8,Emergency repair
3331,290,10/5/2023,7,Preventive maintenance
3870,4256,1/6/2023,7,Verified calibration accuracy
5310,315,3/29/2023,9,Checked and tightened loose connections
3136,3756,10/5/2023,6,Emergency repair
3766,284,5/2/2023,8,Performed software update
44,4041,10/18/2023,6,Replaced worn-out components
4482,3311,11/25/2023,4,Performed software update
1527,4990,11/11/2023,6,Preventive maintenance
26,934,12/30/2023,4,Verified calibration accuracy
3051,1203,7/12/2023,7,Safety inspection and compliance check
4564,1894,7/11/2023,5,Calibrated equipment for accuracy
3536,3983,6/8/2023,9,Disinfection and sterilization
2862,4663,1/27/2023,3,Verified calibration accuracy
2619,4823,2/8/2023,6,Routine inspection and cleaning
1337,1443,9/10/2023,1,Diagnostic tests and troubleshooting
1454,283,12/6/2023,1,Disinfection and sterilization
4712,394,3/16/2023,7,Lubricated moving parts
3770,1399,1/20/2023,7,Calibrated equipment for accuracy
2537,1223,6/15/2023,5,Performed software update
4817,1384,12/20/2023,3,Disinfection and sterilization
3385,1937,7/18/2023,5,Disinfection and sterilization
166,1257,3/6/2023,5,Lubricated moving parts
56,2789,12/2/2023,3,Verified calibration accuracy
1192,4019,5/4/2023,5,Routine inspection and cleaning
1457,2454,12/13/2023,7,Replaced faulty sensor
5383,2161,2/10/2023,2,Replaced worn-out components
4384,3046,5/15/2023,9,Verified calibration accuracy
5054,2749,3/19/2023,1,Disinfection and sterilization
186,30,4/22/2023,8,Checked and tightened loose connections
3761,1739,9/22/2023,1,Routine inspection and cleaning
1703,3849,10/23/2023,6,Diagnostic tests and troubleshooting
2714,2256,6/8/2023,4,Safety inspection and compliance check
4551,4308,6/2/2023,6,Diagnostic tests and troubleshooting
909,786,12/12/2023,3,Checked and tightened loose connections
2772,4729,6/18/2023,1,Checked and tightened loose connections
640,2858,4/2/2023,5,Replaced faulty sensor
1676,1710,1/6/2023,3,Disinfection and sterilization
4242,2583,6/15/2023,8,Replaced faulty sensor
1996,4677,3/28/2023,5,Performed software update
3057,681,9/1/2023,7,Disinfection and sterilization
59,2022,12/27/2023,7,Checked and tightened loose connections
751,842,10/5/2023,5,Safety inspection and compliance check
847,2215,7/12/2023,7,Replaced worn-out components
3582,4450,9/16/2023,1,Diagnostic tests and troubleshooting
302,4061,6/25/2023,8,Safety inspection and compliance check
810,2574,11/13/2023,1,Safety inspection and compliance check
5742,2278,1/11/2023,8,Preventive maintenance
167,2653,2/4/2023,3,Verified calibration accuracy
4431,1787,5/6/2023,5,Safety inspection and compliance check
2578,4559,8/13/2023,8,Emergency repair
310,4183,11/29/2023,4,Calibrated equipment for accuracy
4348,3580,3/22/2023,7,Checked and tightened loose connections
2702,3524,10/8/2023,4,Diagnostic tests and troubleshooting
4638,2429,1/2/2023,5,Calibrated equipment for accuracy
292,1999,12/21/2023,8,Calibrated equipment for accuracy
3275,3688,8/31/2023,7,Performed software update
2289,256,10/8/2023,9,Calibrated equipment for accuracy
1349,4606,11/14/2023,6,Replaced faulty sensor
2544,4598,8/28/2023,9,Replaced faulty sensor
3630,2284,1/28/2023,8,Replaced faulty sensor
5232,4001,8/27/2023,6,Calibrated equipment for accuracy
3469,3717,10/17/2023,4,Checked and tightened loose connections
1867,3917,11/30/2023,5,Diagnostic tests and troubleshooting
3706,52,7/6/2023,4,Routine inspection and cleaning
535,4399,5/31/2023,7,Disinfection and sterilization
2955,2315,9/26/2023,2,Verified calibration accuracy
655,2304,9/13/2023,8,Replaced worn-out components
3406,2879,7/3/2023,4,Disinfection and sterilization
3813,2450,11/21/2023,1,Calibrated equipment for accuracy
2502,3721,3/4/2023,9,Replaced worn-out components
2855,4632,8/25/2023,4,Calibrated equipment for accuracy
3657,4601,7/14/2023,5,Calibrated equipment for accuracy
1370,4173,6/17/2023,7,Verified calibration accuracy
3671,1968,9/14/2023,7,Replaced worn-out components
3434,1908,8/21/2023,6,Safety inspection and compliance check
4579,2861,1/22/2023,3,Calibrated equipment for accuracy
1401,1492,9/16/2023,5,Verified calibration accuracy
2185,3574,4/16/2023,4,Verified calibration accuracy
5669,4405,7/10/2023,5,Disinfection and sterilization
4023,511,11/4/2023,7,Preventive maintenance
4948,208,6/9/2023,2,Calibrated equipment for accuracy
1046,2043,11/27/2023,3,Calibrated equipment for accuracy
2705,1297,12/5/2023,5,Safety inspection and compliance check
410,1215,11/20/2023,1,Lubricated moving parts
5364,281,4/18/2023,2,Diagnostic tests and troubleshooting
5639,703,8/27/2023,1,Emergency repair
334,3863,6/28/2023,6,Checked and tightened loose connections
1027,3636,8/17/2023,7,Routine inspection and cleaning
5864,460,6/3/2023,7,Routine inspection and cleaning
16,1701,11/19/2023,6,Disinfection and sterilization
4364,83,1/6/2023,8,Replaced faulty sensor
4248,2969,11/24/2023,1,Preventive maintenance
3869,2688,8/31/2023,1,Disinfection and sterilization
3496,3773,8/3/2023,9,Checked and tightened loose connections
3024,375,12/30/2023,7,Verified calibration accuracy
3312,2161,4/18/2023,8,Routine inspection and cleaning
4094,3753,6/19/2023,2,Performed software update
971,377,6/17/2023,3,Performed software update
2075,2242,2/2/2023,6,Lubricated moving parts
3604,1261,11/21/2023,4,Emergency repair
3210,2927,11/29/2023,4,Emergency repair
3176,4753,4/20/2023,1,Verified calibration accuracy
5278,2872,4/25/2023,8,Verified calibration accuracy
5327,273,3/30/2023,2,Verified calibration accuracy
5680,1732,12/2/2023,8,Disinfection and sterilization
1187,1138,12/26/2023,7,Preventive maintenance
1131,2051,8/19/2023,5,Replaced faulty sensor
5232,2648,12/8/2023,3,Replaced worn-out components
2521,3935,1/13/2023,7,Emergency repair
3838,983,1/15/2023,3,Emergency repair
4636,4639,4/30/2023,4,Disinfection and sterilization
726,4364,2/10/2023,9,Lubricated moving parts
1918,3978,10/29/2023,4,Calibrated equipment for accuracy
5575,2475,10/2/2023,8,Verified calibration accuracy
3222,1371,7/15/2023,7,Diagnostic tests and troubleshooting
4041,1955,5/21/2023,7,Performed software update
77,2076,8/6/2023,9,Lubricated moving parts
5187,2982,2/14/2023,7,Routine inspection and cleaning
3940,3912,3/2/2023,3,Safety inspection and compliance check
5130,1593,9/9/2023,4,Calibrated equipment for accuracy
2788,2279,11/28/2023,7,Emergency repair
2307,2561,12/8/2023,5,Calibrated equipment for accuracy
5871,3703,3/4/2023,7,Disinfection and sterilization
1236,284,11/22/2023,3,Calibrated equipment for accuracy
4770,512,12/14/2023,9,Safety inspection and compliance check
4035,3888,5/1/2023,2,Calibrated equipment for accuracy
5635,2729,2/9/2023,9,Diagnostic tests and troubleshooting
5372,3575,8/4/2023,7,Disinfection and sterilization
895,3718,8/27/2023,6,Verified calibration accuracy
2315,2023,10/31/2023,4,Verified calibration accuracy
3405,810,3/20/2023,8,Disinfection and sterilization
3354,3825,3/9/2023,5,Routine inspection and cleaning
2911,2067,5/25/2023,4,Performed software update
174,892,5/13/2023,9,Replaced faulty sensor
1937,3564,3/3/2023,6,Replaced worn-out components
1714,2640,10/23/2023,3,Replaced faulty sensor
2360,2073,8/26/2023,4,Routine inspection and cleaning
5385,4081,12/21/2023,9,Checked and tightened loose connections
2654,4792,6/12/2023,3,Performed software update
361,2322,2/26/2023,7,Replaced faulty sensor
2807,719,7/13/2023,4,Performed software update
1067,4887,1/18/2023,7,Verified calibration accuracy
5462,823,11/18/2023,8,Verified calibration accuracy
3029,718,7/23/2023,7,Replaced faulty sensor
3897,3643,1/12/2023,8,Replaced worn-out components
1524,1216,6/7/2023,1,Checked and tightened loose connections
5017,962,6/13/2023,3,Verified calibration accuracy
4328,2339,9/15/2023,1,Lubricated moving parts
3649,1520,11/15/2023,8,Verified calibration accuracy
3991,114,3/13/2023,3,Checked and tightened loose connections
2881,1977,2/25/2023,8,Safety inspection and compliance check
2683,3618,11/17/2023,7,Disinfection and sterilization
3044,4947,3/12/2023,5,Safety inspection and compliance check
40,2758,6/1/2023,3,Replaced faulty sensor
1589,3692,5/20/2023,6,Performed software update
2617,1246,6/29/2023,2,Preventive maintenance
