OrderName,Description,ItemCode,ItemDescription,PartDescription,SupplierID,EquipmentID,TotalCost,Quantity
"Monitor, Carbon-Dioxide, Cutaneous","Description for Monitor, Carbon-Dioxide, Cutaneous",BP0018,Motors/ Micromotors/ Carbon brushes,Flow motor,1,700,448.2724535,3
"Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase","Description for Analyzer, Gas, Carbon-Monoxide, Gaseous-Phase",BP0025,Sensors/ Detectors,O2 Sensor OOM202,2,3789,3655.361571,7
Oximeter,Description for Oximeter,BP0005,Casing/ Covers/ Brackets/ Latches/ Part Holders,Door 22MM Bubble C.Holder 4008SV10,3,2496,4879.80485,2
"Flowmeter, Calibration, Gas","Description for Flowmeter, Calibration, Gas",BP0001,Batteries/ UPS,Battery Pack Fot Tec 7731K,4,4259,2861.677924,7
"Mask, Oxygen, Non-Rebreathing","Description for Mask, Oxygen, Non-Rebreathing",BP0025,Sensors/ Detectors,DATEX OHMEDA Spo2 FINGER SENSOR Trusignal (TS-F-D),5,4178,3122.407104,8
Non-Bronchoscopic Bronchoalveolar Lavage Catheter,Description for Non-Bronchoscopic Bronchoalveolar Lavage Catheter,BP0025,Sensors/ Detectors,FLOW TRANDUCER GE,6,3855,3514.572372,6
"Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia","Description for Monitor, Oxygen, Cutaneous, For Uses Other Than For Infant Not Under Gas Anesthesia",BP0003,Bulbs/ Lamps,Bulb 12v 30w,7,538,3130.68451,3
Medevac Use Oxygen Generator,Description for Medevac Use Oxygen Generator,BP0001,Batteries/ UPS,Battery AA (Alkaline),8,4074,3728.487706,7
"Acid, Vanilmandelic, Electrophoretic Separation","Description for Acid, Vanilmandelic, Electrophoretic Separation",BP0011,Equipment Specific Parts,Label Remover,9,35,1471.081395,5
Non-Continuous Ventilator For Emergency Use,Description for Non-Continuous Ventilator For Emergency Use,BP0003,Bulbs/ Lamps,Bulb 12v 100w (64623 HLX),10,1686,1779.110199,8
Nerve Block Tray,Description for Nerve Block Tray,BP0027,Switchs/ Knobs/Buttons,Read Switch,11,656,4249.431292,1
"Tube, Bronchial (W/Wo Connector)","Description for Tube, Bronchial (W/Wo Connector)",BP0011,Equipment Specific Parts,STP Foam Cleaner,12,4049,2454.744526,7
"Calculator, Pulmonary Function Interpretor (Diagnostic)","Description for Calculator, Pulmonary Function Interpretor (Diagnostic)",BP0011,Equipment Specific Parts,Ambersil - Label Remover,13,3105,1363.500356,9
